PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,IsAlone,Title
1,0,3,1,22.0,7.25,0,0,1
2,1,1,0,38.0,71.2833,1,0,3
3,1,3,0,26.0,7.925,0,1,2
4,1,1,0,35.0,53.1,0,0,3
5,0,3,1,35.0,8.05,0,1,1
6,0,3,1,41.0,8.4583,2,1,1
7,0,1,1,54.0,51.8625,0,1,1
8,0,3,1,2.0,21.075,0,0,4
9,1,3,0,27.0,11.1333,0,0,3
10,1,2,0,14.0,30.0708,1,0,3
11,1,3,0,4.0,16.7,0,0,2
12,1,1,0,58.0,26.55,0,1,2
13,0,3,1,20.0,8.05,0,1,1
14,0,3,1,39.0,31.275,0,0,1
15,0,3,0,14.0,7.8542,0,1,2
16,1,2,0,55.0,16.0,0,1,3
17,0,3,1,2.0,29.125,2,0,4
18,1,2,1,41.0,13.0,0,1,1
19,0,3,0,31.0,18.0,0,0,3
20,1,3,0,32.0,7.225,1,1,3
21,0,2,1,35.0,26.0,0,1,1
22,1,2,1,34.0,13.0,0,1,1
23,1,3,0,15.0,8.0292,2,1,2
24,1,1,1,28.0,35.5,0,1,1
25,0,3,0,8.0,21.075,0,0,2
26,1,3,0,38.0,31.3875,0,0,3
27,0,3,1,37.0,7.225,1,1,1
28,0,1,1,19.0,263.0,0,0,1
29,1,3,0,41.0,7.8792,2,1,2
30,0,3,1,29.0,7.8958,0,1,1
31,0,1,1,40.0,27.7208,1,1,5
32,1,1,0,22.0,146.5208,1,0,3
33,1,3,0,29.0,7.75,2,1,2
34,0,2,1,66.0,10.5,0,1,1
35,0,1,1,28.0,82.1708,1,0,1
36,0,1,1,42.0,52.0,0,0,1
37,1,3,1,22.0,7.2292,1,1,1
38,0,3,1,21.0,8.05,0,1,1
39,0,3,0,18.0,18.0,0,0,2
40,1,3,0,14.0,11.2417,1,0,2
41,0,3,0,40.0,9.475,0,0,3
42,0,2,0,27.0,21.0,0,0,3
43,0,3,1,15.0,7.8958,1,1,1
44,1,2,0,3.0,41.5792,1,0,2
45,1,3,0,19.0,7.8792,2,1,2
46,0,3,1,28.0,8.05,0,1,1
47,0,3,1,31.0,15.5,2,0,1
48,1,3,0,20.0,7.75,2,1,2
49,0,3,1,39.0,21.6792,1,0,1
50,0,3,0,18.0,17.8,0,0,3
51,0,3,1,7.0,39.6875,0,0,4
52,0,3,1,21.0,7.8,0,1,1
53,1,1,0,49.0,76.7292,1,0,3
54,1,2,0,29.0,26.0,0,0,3
55,0,1,1,65.0,61.9792,1,0,1
56,1,1,1,34.0,35.5,0,1,1
57,1,2,0,21.0,10.5,0,1,2
58,0,3,1,28.5,7.2292,1,1,1
59,1,2,0,5.0,27.75,0,0,2
60,0,3,1,11.0,46.9,0,0,4
61,0,3,1,22.0,7.2292,1,1,1
62,1,1,0,38.0,80.0,0,1,2
63,0,1,1,45.0,83.475,0,0,1
64,0,3,1,4.0,27.9,0,0,4
